Артикул;Номенклатура;Тип;Ед;Дополнительное описание номенклатуры;Картинка;Цена
;Детские ;;;;;
;Dolphin 12";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, длинные крылья, поддерживающая ручка, багажник, высокий руль с накладками, рюкзак, флаг, дудка;;5550
;Dolphin 14";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, длинные крылья, поддерживающая ручка, багажник, высокий руль с накладками, рюкзак, флаг, дудка;;5900
;Dolphin 16";товар;шт;1-ск., рама  STEEL (11"), зад. ножн. тормоз, длинные крылья, багажник, высокий руль с накладками, рюкзак, флаг, дудка;;6095
;ECHO 12";товар;шт;1-ск., рама  STEEL (8"), зад. ножн. тормоз, длинные крылья, поддерживающая ручка, высокий руль с накладками, корзина, кресло для куклы, звонок;;5550
;ECHO 16";товар;шт;1-ск., рама  STEEL (9.5"), зад. ножн. тормоз, длинные крылья, высокий руль с накладками, корзина, кресло для куклы, звонок;;6095
;Pilot-110 12".12;товар;шт;1-ск., длинные крылья, зад. ножн. тормоз, поддерживающая ручка, багажник, высокий руль с накладками, дудка,  рюкзак,  флаг;;4230
;Pilot-110 12";товар;шт;1-ск., рама STEEL (8.5"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, дудка, рюкзак, флаг;;5550
;Pilot-110 14";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, поддерживающая ручка, дудка, рюкзак, флаг;;5960
;Pilot-110 16";товар;шт;1-ск., рама  STEEL (10.5"), зад. ножн. тормоз, высокий руль с накладками, длинные крылья, багажник, дудка, рюкзак, флаг;;6095
;Pilot-120 16";товар;шт;1-ск, рама  STEEL (10"), задн. ножной тормоз, высокий руль с накладками, длинные крылья, багажник, корзинка, звонок, зеркало;;6230
;Pilot-130 16".13;товар;шт;1-ск., рама сталь, зад. ножн. тормоз, передн. ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;5985
;Pilot-130 16";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, передн. ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6295
;Pilot-130 18";товар;шт;1-ск., рама  STEEL (9.5"), зад. ножн. тормоз, передн. ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6430
;Pilot-140 16".14;товар;шт;1-ск., рама сталь, зад. ножн. тормоз, передний ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6260
;Pilot-140 16" (новая модель);товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, передний ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6370
;Pilot-140 18".14;товар;шт;1-ск., рама сталь, зад. ножн. тормоз,передний ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6120
;Pilot-140 18" (новая модель);товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз,передний ручной тормоз, длинные крылья, багажник, высокий руль с накладками, звонок;;6505
;Pilot-150 16" (Army) (новая модель);товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, передний ручной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;6565
;Pilot-150 16";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, передний ручной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;6565
;Pilot-160 16";товар;шт;1-ск., рама  STEEL (8.5"), AL обода, задн. ножной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;6640
;Pilot-160 18";товар;шт;1-ск., рама  STEEL (10"), AL обода, задн. ножной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;6705
;Pilot-170 12";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;5410
;Pilot-170 14";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;5820
;Pilot-170 16";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;5960
;Pilot-170 18";товар;шт;1-ск., рама  STEEL (9.5"), зад. ножн. тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;6705
;Pilot-170 20";товар;шт;1-ск., рама AL (9.5"), двойные AL обода, задн. ножной тормоз KT, передний тормоз V-типа TEKTRO, короткие стальные крылья, высокий руль с накладками, поддерживающие колеса, звонок;;11110
;Pilot-180 16";товар;шт;1-ск., рама AL (9"), AL обода, алюм. тормоза, втулки KT, стальные крылья, звонок, доп. колеса;;11250
;Pilot-190 16";товар;шт;1-ск., paмa AL (8.5"), AL обода, алюм. тормоза, втулки KT, стальные крылья, звонок, доп. колеса;;10015
;Pilot-190 18";товар;шт;1-ск., paмa AL (10"), AL обода, алюм. тормоза, втулки KT, стальные крылья, звонок, доп. колеса;;10700
;Arrow 12";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, передний ручной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;4740
;Arrow 14";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, передний ручной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;4940
;Arrow 16";товар;шт;1-ск., рама  STEEL (9.5"), зад. ножн. тормоз, передний ручной тормоз, короткие стальные крылья, высокий руль с накладками, звонок;;5275
;Flash 12";товар;шт;1-ск., рама  STEEL (8.5"), зад. ножн. тормоз, длинные крылья, поддерживающая ручка, багажник, высокий руль с накладками, рюкзак, флаг, зеркало, звонок;;5155
;Flash 14";товар;шт;1-ск., рама  STEEL (10"), зад. ножн. тормоз, длинные крылья, поддерживающая ручка, багажник, высокий руль с накладками, рюкзак, флаг, зеркало, звонок;;5350
