,,
N п/п,Профессия,Заработок от
1,ДЕФЕКТОСКОПИСТ ПО МАГНИТНОМУ И УЛЬТРАЗВУКОВОМУ КОНТРОЛЮ,7518
2,ДИСПЕТЧЕР,6446
3,ИНЖЕНЕР ПО АВТОМАТИЗАЦИИ И МЕХАНИЗАЦИИ ПРОИЗВОДСТВЕННЫХ ПРОЦ,7090
4,ИНЖЕНЕР ПО КОНТР.-ИЗМЕРИТ.ПРИБОРАМ И АВТОМАТИКЕ НА РАДИАЦ.УС,7090
5,ИНЖЕНЕР-КОНСТРУКТОР,7090
6,ИНЖЕНЕР-ЭНЕРГЕТИК,7090
7,КОНТРОЛЕР КАЧЕСТВА ПРОДУКЦИИ И ТЕХНОЛОГИЧЕСКОГО ПРОЦЕССА,7090
8,КОНТРОЛЕР СТЕНОВЫХ И ВЯЖУЩИХ МАТЕРИАЛОВ,3794
9,КУЗНЕЦ РУЧНОЙ КОВКИ,5869
10,ЛАБОРАНТ,7518
11,МАРКШЕЙДЕР,3756
12,ОПЕРАТОР ЖИВОТНОВОДЧЕСКИХ КОМПЛЕКСОВ И МЕХАНИЗИРОВАННЫХ ФЕРМ,10000
13,ПЕРЕВОДЧИК,7090
14,ПОДСОБНЫЙ РАБОЧИЙ,7090
15,СПЕЦИАЛИСТ,7518
16,ТОКАРЬ,15000
17,ТРЕНЕР,7090
